,city,state,latitude,longitude
0,Gurgaon,Haryana,77.05505847930908,28.524246963021376
1,Gurgaon,Haryana,77.0485782623291,28.52115501996474
2,Gurgaon,Haryana,77.04347133636475,28.52405843250429
3,Gurgaon,Haryana,77.04334259033203,28.525038787511374
4,Gurgaon,Haryana,77.0416259765625,28.52616995503673
5,Gurgaon,Haryana,77.03896522521973,28.527414225294702
6,Gurgaon,Haryana,77.03205585479736,28.531109244330963
7,Gurgaon,Haryana,77.02476024627684,28.53265508120663
8,Gurgaon,Haryana,77.02205657958984,28.534050085263765
9,Gurgaon,Haryana,77.01840877532959,28.536840037975676
10,Gurgaon,Haryana,77.01634883880615,28.539215209769342
11,Gurgaon,Haryana,77.01347351074219,28.540346225136783
12,Gurgaon,Haryana,77.00531959533691,28.53947911444112
13,Gurgaon,Haryana,77.0017147064209,28.533296031309874
14,Gurgaon,Haryana,77.00141429901122,28.530883022398445
15,Gurgaon,Haryana,77.00840950012207,28.527074880317347
16,Gurgaon,Haryana,77.01064109802246,28.52567978393273
17,Gurgaon,Haryana,77.01458930969238,28.524435493201324
18,Gurgaon,Haryana,77.016863822937,28.521117312782412
19,Gurgaon,Haryana,77.01025485992432,28.51466918629717
20,Gurgaon,Haryana,77.00347423553467,28.516856314323167
21,Gurgaon,Haryana,76.99682235717772,28.519722137556652
22,Gurgaon,Haryana,76.9953203201294,28.51704485771888
23,Gurgaon,Haryana,76.9945478439331,28.517572777433514
24,Gurgaon,Haryana,76.99081420898438,28.513500185475525
25,Gurgaon,Haryana,76.97811126708984,28.521192727133563
26,Gurgaon,Haryana,76.97502136230469,28.51862860893376
27,Gurgaon,Haryana,76.9647216796875,28.512896825142963
28,Gurgaon,Haryana,76.95322036743164,28.505354529765714
29,Gurgaon,Haryana,76.94292068481445,28.50580708269566
30,Gurgaon,Haryana,76.93502426147461,28.51097359104727
31,Gurgaon,Haryana,76.92781448364258,28.510785036797373
32,Gurgaon,Haryana,76.9207763671875,28.50686303198279
33,Gurgaon,Haryana,76.91545486450195,28.511388409210596
34,Gurgaon,Haryana,76.91030502319336,28.51259514368231
35,Gurgaon,Haryana,76.90704345703124,28.513500185475525
36,Gurgaon,Haryana,76.90223693847656,28.50686303198279
37,Gurgaon,Haryana,76.89674377441406,28.506561333264955
38,Gurgaon,Haryana,76.89210891723633,28.500979751364326
39,Gurgaon,Haryana,76.88575744628906,28.501356894577825
40,Gurgaon,Haryana,76.88301086425781,28.4934366040408
41,Gurgaon,Haryana,76.8552017211914,28.47231292388337
42,Gurgaon,Haryana,76.86241149902344,28.436392973656965
43,Gurgaon,Haryana,76.86756134033202,28.40408478754051
44,Gurgaon,Haryana,76.86824798583983,28.382339152322746
45,Gurgaon,Haryana,76.87854766845703,28.35515083653415
46,Gurgaon,Haryana,76.88678741455078,28.327955556164437
47,Gurgaon,Haryana,76.90910339355469,28.30558977794923
48,Gurgaon,Haryana,76.95098876953125,28.278684166612884
49,Gurgaon,Haryana,76.98738098144531,28.279591208078358
50,Gurgaon,Haryana,77.14187622070312,28.327804451828083
51,Gurgaon,Haryana,77.14136123657227,28.35243162183171
52,Gurgaon,Haryana,77.14101791381836,28.388833107785594
53,Gurgaon,Haryana,77.17243194580078,28.405594735421133
54,Gurgaon,Haryana,77.17002868652344,28.411030369596805
55,Gurgaon,Haryana,77.16796875,28.413295134846067
56,Gurgaon,Haryana,77.16419219970702,28.414804951440466
57,Gurgaon,Haryana,77.16586589813232,28.421863058471775
58,Gurgaon,Haryana,77.15972900390625,28.43050576788437
59,Gurgaon,Haryana,77.15616703033447,28.431373773935793
60,Gurgaon,Haryana,77.15178966522217,28.434770250918202
61,Gurgaon,Haryana,77.1491289138794,28.43658166073238
62,Gurgaon,Haryana,77.14694023132324,28.436657135468323
63,Gurgaon,Haryana,77.14256286621094,28.435675959701623
64,Gurgaon,Haryana,77.1344518661499,28.439600608174604
65,Gurgaon,Haryana,77.12741374969482,28.443110026291144
66,Gurgaon,Haryana,77.12638378143309,28.44601558544193
67,Gurgaon,Haryana,77.12239265441895,28.455335476723302
68,Gurgaon,Haryana,77.12097644805908,28.457787943158696
69,Gurgaon,Haryana,77.1199893951416,28.460202623752465
70,Gurgaon,Haryana,77.11655616760254,28.467031343699137
71,Gurgaon,Haryana,77.11235046386719,28.473180586806475
72,Gurgaon,Haryana,77.1141529083252,28.47363327767657
73,Gurgaon,Haryana,77.11458206176758,28.477481071749267
74,Gurgaon,Haryana,77.11522579193115,28.482120872295056
75,Gurgaon,Haryana,77.1176826953888,28.487005645265157
76,Gurgaon,Haryana,77.11947441101073,28.495020709699137
77,Gurgaon,Haryana,77.11569786071777,28.49675565528421
78,Gurgaon,Haryana,77.11217880249023,28.498377426453633
79,Gurgaon,Haryana,77.10514068603516,28.501583179858873
80,Gurgaon,Haryana,77.10352063179015,28.502540172660815
81,Gurgaon,Haryana,77.0979630947113,28.50493497375287
82,Gurgaon,Haryana,77.09583342075348,28.507023309075684
83,Gurgaon,Haryana,77.0989179611206,28.511501541153837
84,Gurgaon,Haryana,77.09458351135254,28.51353789538169
85,Gurgaon,Haryana,77.08969116210938,28.515310245762567
86,Gurgaon,Haryana,77.08012104034424,28.518176111013922
87,Gurgaon,Haryana,77.07471370697021,28.518854857165522
88,Gurgaon,Haryana,77.07226753234863,28.520250043867282
89,Gurgaon,Haryana,77.07170963287354,28.518817149160622
90,Gurgaon,Haryana,77.0676326751709,28.521343555673994
91,Gurgaon,Haryana,77.06355571746825,28.523869901650016
93,Faridabad,Haryana,77.30658531188963,28.490570066704066
